"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US06","California","39242785","*****",
"0500000US06075","San Francisco County, California","836321","*****",
"1400000US06075010101","Census Tract 101.01; San Francisco County; California","2004","297",
"1400000US06075010102","Census Tract 101.02; San Francisco County; California","1795","345",
"1400000US06075010201","Census Tract 102.01; San Francisco County; California","2608","479",
"1400000US06075010202","Census Tract 102.02; San Francisco County; California","1761","320",
"1400000US06075010300","Census Tract 103; San Francisco County; California","3791","563",
"1400000US06075010401","Census Tract 104.01; San Francisco County; California","2393","735",
"1400000US06075010402","Census Tract 104.02; San Francisco County; California","2012","224",
"1400000US06075010500","Census Tract 105; San Francisco County; California","3177","555",
"1400000US06075010600","Census Tract 106; San Francisco County; California","3293","385",
"1400000US06075010701","Census Tract 107.01; San Francisco County; California","3280","603",
"1400000US06075010702","Census Tract 107.02; San Francisco County; California","1380","249",
"1400000US06075010800","Census Tract 108; San Francisco County; California","4334","529",
"1400000US06075010901","Census Tract 109.01; San Francisco County; California","2069","276",
"1400000US06075010902","Census Tract 109.02; San Francisco County; California","2568","582",
"1400000US06075011001","Census Tract 110.01; San Francisco County; California","2327","372",
"1400000US06075011002","Census Tract 110.02; San Francisco County; California","1755","484",
"1400000US06075011101","Census Tract 111.01; San Francisco County; California","2470","349",
"1400000US06075011102","Census Tract 111.02; San Francisco County; California","2205","495",
"1400000US06075011200","Census Tract 112; San Francisco County; California","2678","491",
"1400000US06075011300","Census Tract 113; San Francisco County; California","2518","486",
"1400000US06075011700","Census Tract 117; San Francisco County; California","1947","294",
"1400000US06075011800","Census Tract 118; San Francisco County; California","1635","268",
"1400000US06075011901","Census Tract 119.01; San Francisco County; California","2084","308",
"1400000US06075011902","Census Tract 119.02; San Francisco County; California","2732","590",
"1400000US06075012001","Census Tract 120.01; San Francisco County; California","1738","474",
"1400000US06075012002","Census Tract 120.02; San Francisco County; California","2035","365",
"1400000US06075012100","Census Tract 121; San Francisco County; California","3250","394",
"1400000US06075012202","Census Tract 122.02; San Francisco County; California","3017","455",
"1400000US06075012203","Census Tract 122.03; San Francisco County; California","1895","502",
"1400000US06075012204","Census Tract 122.04; San Francisco County; California","2389","427",
"1400000US06075012301","Census Tract 123.01; San Francisco County; California","1766","342",
"1400000US06075012302","Census Tract 123.02; San Francisco County; California","2586","238",
"1400000US06075012403","Census Tract 124.03; San Francisco County; California","2696","647",
"1400000US06075012404","Census Tract 124.04; San Francisco County; California","2587","482",
"1400000US06075012405","Census Tract 124.05; San Francisco County; California","3878","533",
"1400000US06075012406","Census Tract 124.06; San Francisco County; California","1358","252",
"1400000US06075012502","Census Tract 125.02; San Francisco County; California","4689","721",
"1400000US06075012503","Census Tract 125.03; San Francisco County; California","4497","651",
"1400000US06075012504","Census Tract 125.04; San Francisco County; California","651","226",
"1400000US06075012601","Census Tract 126.01; San Francisco County; California","2045","305",
"1400000US06075012602","Census Tract 126.02; San Francisco County; California","2956","470",
"1400000US06075012700","Census Tract 127; San Francisco County; California","3973","581",
"1400000US06075012801","Census Tract 128.01; San Francisco County; California","2547","576",
"1400000US06075012802","Census Tract 128.02; San Francisco County; California","2035","473",
"1400000US06075012901","Census Tract 129.01; San Francisco County; California","2887","607",
"1400000US06075012902","Census Tract 129.02; San Francisco County; California","2735","364",
"1400000US06075013001","Census Tract 130.01; San Francisco County; California","1770","217",
"1400000US06075013002","Census Tract 130.02; San Francisco County; California","2785","729",
"1400000US06075013101","Census Tract 131.01; San Francisco County; California","3935","474",
"1400000US06075013102","Census Tract 131.02; San Francisco County; California","2725","442",
"1400000US06075013200","Census Tract 132; San Francisco County; California","3721","528",
"1400000US06075013300","Census Tract 133; San Francisco County; California","4160","462",
"1400000US06075013401","Census Tract 134.01; San Francisco County; California","1456","336",
"1400000US06075013402","Census Tract 134.02; San Francisco County; California","2302","389",
"1400000US06075013500","Census Tract 135; San Francisco County; California","2544","306",
"1400000US06075015100","Census Tract 151; San Francisco County; California","2840","363",
"1400000US06075015201","Census Tract 152.01; San Francisco County; California","1532","225",
"1400000US06075015202","Census Tract 152.02; San Francisco County; California","2334","606",
"1400000US06075015300","Census Tract 153; San Francisco County; California","2427","385",
"1400000US06075015401","Census Tract 154.01; San Francisco County; California","3035","444",
"1400000US06075015402","Census Tract 154.02; San Francisco County; California","2747","583",
"1400000US06075015500","Census Tract 155; San Francisco County; California","3936","544",
"1400000US06075015600","Census Tract 156; San Francisco County; California","2927","457",
"1400000US06075015701","Census Tract 157.01; San Francisco County; California","4958","593",
"1400000US06075015702","Census Tract 157.02; San Francisco County; California","3109","689",
"1400000US06075015801","Census Tract 158.01; San Francisco County; California","3220","444",
"1400000US06075015802","Census Tract 158.02; San Francisco County; California","3163","505",
"1400000US06075015900","Census Tract 159; San Francisco County; California","4876","798",
"1400000US06075016000","Census Tract 160; San Francisco County; California","2725","530",
"1400000US06075016101","Census Tract 161.01; San Francisco County; California","2444","500",
"1400000US06075016102","Census Tract 161.02; San Francisco County; California","2798","549",
"1400000US06075016200","Census Tract 162; San Francisco County; California","3198","645",
"1400000US06075016300","Census Tract 163; San Francisco County; California","3794","434",
"1400000US06075016400","Census Tract 164; San Francisco County; California","3481","623",
"1400000US06075016500","Census Tract 165; San Francisco County; California","5393","724",
"1400000US06075016601","Census Tract 166.01; San Francisco County; California","3027","521",
"1400000US06075016602","Census Tract 166.02; San Francisco County; California","1986","467",
"1400000US06075016700","Census Tract 167; San Francisco County; California","5092","807",
"1400000US06075016801","Census Tract 168.01; San Francisco County; California","4013","475",
"1400000US06075016802","Census Tract 168.02; San Francisco County; California","3754","611",
"1400000US06075016900","Census Tract 169; San Francisco County; California","2890","429",
"1400000US06075017000","Census Tract 170; San Francisco County; California","4016","520",
"1400000US06075017101","Census Tract 171.01; San Francisco County; California","4125","587",
"1400000US06075017102","Census Tract 171.02; San Francisco County; California","3550","427",
"1400000US06075017602","Census Tract 176.02; San Francisco County; California","3251","840",
"1400000US06075017603","Census Tract 176.03; San Francisco County; California","4527","731",
"1400000US06075017604","Census Tract 176.04; San Francisco County; California","3720","464",
"1400000US06075017700","Census Tract 177; San Francisco County; California","2360","296",
"1400000US06075017801","Census Tract 178.01; San Francisco County; California","3335","388",
"1400000US06075017803","Census Tract 178.03; San Francisco County; California","2318","404",
"1400000US06075017804","Census Tract 178.04; San Francisco County; California","3911","561",
"1400000US06075017903","Census Tract 179.03; San Francisco County; California","2829","392",
"1400000US06075018000","Census Tract 180; San Francisco County; California","3636","610",
"1400000US06075020101","Census Tract 201.01; San Francisco County; California","4221","631",
"1400000US06075020102","Census Tract 201.02; San Francisco County; California","3627","970",
"1400000US06075020201","Census Tract 202.01; San Francisco County; California","1847","396",
"1400000US06075020202","Census Tract 202.02; San Francisco County; California","3929","506",
"1400000US06075020300","Census Tract 203; San Francisco County; California","3372","563",
"1400000US06075020401","Census Tract 204.01; San Francisco County; California","3409","337",
"1400000US06075020402","Census Tract 204.02; San Francisco County; California","4083","425",
"1400000US06075020500","Census Tract 205; San Francisco County; California","2895","395",
"1400000US06075020601","Census Tract 206.01; San Francisco County; California","3073","415",
"1400000US06075020602","Census Tract 206.02; San Francisco County; California","2369","508",
"1400000US06075020701","Census Tract 207.01; San Francisco County; California","3032","554",
"1400000US06075020702","Census Tract 207.02; San Francisco County; California","2046","256",
"1400000US06075020801","Census Tract 208.01; San Francisco County; California","3732","706",
"1400000US06075020802","Census Tract 208.02; San Francisco County; California","2274","451",
"1400000US06075020900","Census Tract 209; San Francisco County; California","3644","621",
"1400000US06075021000","Census Tract 210; San Francisco County; California","3739","618",
"1400000US06075021100","Census Tract 211; San Francisco County; California","4054","347",
"1400000US06075021200","Census Tract 212; San Francisco County; California","3052","334",
"1400000US06075021300","Census Tract 213; San Francisco County; California","2948","535",
"1400000US06075021400","Census Tract 214; San Francisco County; California","3522","388",
"1400000US06075021500","Census Tract 215; San Francisco County; California","5341","644",
"1400000US06075021600","Census Tract 216; San Francisco County; California","4417","603",
"1400000US06075021700","Census Tract 217; San Francisco County; California","4459","574",
"1400000US06075021800","Census Tract 218; San Francisco County; California","3999","433",
"1400000US06075022600","Census Tract 226; San Francisco County; California","4210","423",
"1400000US06075022702","Census Tract 227.02; San Francisco County; California","2017","377",
"1400000US06075022704","Census Tract 227.04; San Francisco County; California","3982","491",
"1400000US06075022801","Census Tract 228.01; San Francisco County; California","4755","835",
"1400000US06075022802","Census Tract 228.02; San Francisco County; California","2236","243",
"1400000US06075022803","Census Tract 228.03; San Francisco County; California","4098","631",
"1400000US06075022901","Census Tract 229.01; San Francisco County; California","4197","720",
"1400000US06075022902","Census Tract 229.02; San Francisco County; California","2019","221",
"1400000US06075022903","Census Tract 229.03; San Francisco County; California","2675","447",
"1400000US06075023001","Census Tract 230.01; San Francisco County; California","5576","872",
"1400000US06075023003","Census Tract 230.03; San Francisco County; California","4025","488",
"1400000US06075023102","Census Tract 231.02; San Francisco County; California","3411","704",
"1400000US06075023103","Census Tract 231.03; San Francisco County; California","4512","555",
"1400000US06075023200","Census Tract 232; San Francisco County; California","4214","1002",
"1400000US06075023300","Census Tract 233; San Francisco County; California","3934","474",
"1400000US06075023400","Census Tract 234; San Francisco County; California","3811","729",
"1400000US06075025100","Census Tract 251; San Francisco County; California","3342","572",
"1400000US06075025200","Census Tract 252; San Francisco County; California","5610","719",
"1400000US06075025300","Census Tract 253; San Francisco County; California","4218","962",
"1400000US06075025401","Census Tract 254.01; San Francisco County; California","3706","704",
"1400000US06075025402","Census Tract 254.02; San Francisco County; California","3163","667",
"1400000US06075025403","Census Tract 254.03; San Francisco County; California","4686","656",
"1400000US06075025501","Census Tract 255.01; San Francisco County; California","4073","1275",
"1400000US06075025502","Census Tract 255.02; San Francisco County; California","3451","498",
"1400000US06075025600","Census Tract 256; San Francisco County; California","5290","619",
"1400000US06075025701","Census Tract 257.01; San Francisco County; California","5047","925",
"1400000US06075025702","Census Tract 257.02; San Francisco County; California","4601","485",
"1400000US06075025800","Census Tract 258; San Francisco County; California","1776","386",
"1400000US06075025900","Census Tract 259; San Francisco County; California","4134","550",
"1400000US06075026001","Census Tract 260.01; San Francisco County; California","6010","960",
"1400000US06075026002","Census Tract 260.02; San Francisco County; California","3731","387",
"1400000US06075026003","Census Tract 260.03; San Francisco County; California","4873","631",
"1400000US06075026004","Census Tract 260.04; San Francisco County; California","3924","486",
"1400000US06075026100","Census Tract 261; San Francisco County; California","6601","882",
"1400000US06075026201","Census Tract 262.01; San Francisco County; California","3928","431",
"1400000US06075026202","Census Tract 262.02; San Francisco County; California","3664","615",
"1400000US06075026301","Census Tract 263.01; San Francisco County; California","4955","695",
"1400000US06075026302","Census Tract 263.02; San Francisco County; California","4707","516",
"1400000US06075026303","Census Tract 263.03; San Francisco County; California","4425","663",
"1400000US06075026401","Census Tract 264.01; San Francisco County; California","3470","584",
"1400000US06075026402","Census Tract 264.02; San Francisco County; California","4654","1309",
"1400000US06075026403","Census Tract 264.03; San Francisco County; California","3453","586",
"1400000US06075026404","Census Tract 264.04; San Francisco County; California","2404","266",
"1400000US06075030101","Census Tract 301.01; San Francisco County; California","4588","721",
"1400000US06075030102","Census Tract 301.02; San Francisco County; California","4808","511",
"1400000US06075030201","Census Tract 302.01; San Francisco County; California","4120","604",
"1400000US06075030202","Census Tract 302.02; San Francisco County; California","4017","611",
"1400000US06075030301","Census Tract 303.01; San Francisco County; California","6509","770",
"1400000US06075030302","Census Tract 303.02; San Francisco County; California","3492","424",
"1400000US06075030400","Census Tract 304; San Francisco County; California","5120","529",
"1400000US06075030500","Census Tract 305; San Francisco County; California","3778","430",
"1400000US06075030600","Census Tract 306; San Francisco County; California","2356","274",
"1400000US06075030700","Census Tract 307; San Francisco County; California","6600","609",
"1400000US06075030800","Census Tract 308; San Francisco County; California","5769","1172",
"1400000US06075030900","Census Tract 309; San Francisco County; California","6425","764",
"1400000US06075031000","Census Tract 310; San Francisco County; California","4336","625",
"1400000US06075031100","Census Tract 311; San Francisco County; California","6276","834",
"1400000US06075031201","Census Tract 312.01; San Francisco County; California","5906","1073",
"1400000US06075031202","Census Tract 312.02; San Francisco County; California","2919","398",
"1400000US06075031301","Census Tract 313.01; San Francisco County; California","3847","608",
"1400000US06075031302","Census Tract 313.02; San Francisco County; California","4727","575",
"1400000US06075031401","Census Tract 314.01; San Francisco County; California","2700","392",
"1400000US06075031402","Census Tract 314.02; San Francisco County; California","4671","637",
"1400000US06075032601","Census Tract 326.01; San Francisco County; California","4511","639",
"1400000US06075032602","Census Tract 326.02; San Francisco County; California","4105","520",
"1400000US06075032700","Census Tract 327; San Francisco County; California","6729","1036",
"1400000US06075032801","Census Tract 328.01; San Francisco County; California","3946","728",
"1400000US06075032802","Census Tract 328.02; San Francisco County; California","4185","731",
"1400000US06075032901","Census Tract 329.01; San Francisco County; California","5071","765",
"1400000US06075032902","Census Tract 329.02; San Francisco County; California","3797","721",
"1400000US06075033001","Census Tract 330.01; San Francisco County; California","3858","732",
"1400000US06075033002","Census Tract 330.02; San Francisco County; California","3940","492",
"1400000US06075033100","Census Tract 331; San Francisco County; California","3866","437",
"1400000US06075033201","Census Tract 332.01; San Francisco County; California","3535","393",
"1400000US06075033203","Census Tract 332.03; San Francisco County; California","3339","474",
"1400000US06075033204","Census Tract 332.04; San Francisco County; California","3327","782",
"1400000US06075035101","Census Tract 351.01; San Francisco County; California","3848","865",
"1400000US06075035102","Census Tract 351.02; San Francisco County; California","3828","468",
"1400000US06075035201","Census Tract 352.01; San Francisco County; California","5136","742",
"1400000US06075035202","Census Tract 352.02; San Francisco County; California","4559","829",
"1400000US06075035300","Census Tract 353; San Francisco County; California","6922","825",
"1400000US06075035400","Census Tract 354; San Francisco County; California","7154","1453",
"1400000US06075040100","Census Tract 401; San Francisco County; California","4277","673",
"1400000US06075040200","Census Tract 402; San Francisco County; California","4903","914",
"1400000US06075042601","Census Tract 426.01; San Francisco County; California","3999","707",
"1400000US06075042602","Census Tract 426.02; San Francisco County; California","3060","414",
"1400000US06075042700","Census Tract 427; San Francisco County; California","5365","552",
"1400000US06075042800","Census Tract 428; San Francisco County; California","2419","257",
"1400000US06075045100","Census Tract 451; San Francisco County; California","4664","925",
"1400000US06075045201","Census Tract 452.01; San Francisco County; California","3113","290",
"1400000US06075045202","Census Tract 452.02; San Francisco County; California","3304","872",
"1400000US06075047600","Census Tract 476; San Francisco County; California","5208","739",
"1400000US06075047701","Census Tract 477.01; San Francisco County; California","4742","562",
"1400000US06075047702","Census Tract 477.02; San Francisco County; California","3441","449",
"1400000US06075047801","Census Tract 478.01; San Francisco County; California","4227","458",
"1400000US06075047802","Census Tract 478.02; San Francisco County; California","3897","545",
"1400000US06075047902","Census Tract 479.02; San Francisco County; California","3327","442",
"1400000US06075047903","Census Tract 479.03; San Francisco County; California","3608","599",
"1400000US06075047904","Census Tract 479.04; San Francisco County; California","3175","620",
"1400000US06075060100","Census Tract 601; San Francisco County; California","3808","635",
"1400000US06075060400","Census Tract 604; San Francisco County; California","1818","336",
"1400000US06075060502","Census Tract 605.02; San Francisco County; California","3087","450",
"1400000US06075060701","Census Tract 607.01; San Francisco County; California","8415","969",
"1400000US06075060702","Census Tract 607.02; San Francisco County; California","2359","329",
"1400000US06075060703","Census Tract 607.03; San Francisco County; California","5936","1360",
"1400000US06075061000","Census Tract 610; San Francisco County; California","4558","595",
"1400000US06075061101","Census Tract 611.01; San Francisco County; California","1814","446",
"1400000US06075061102","Census Tract 611.02; San Francisco County; California","2017","358",
"1400000US06075061200","Census Tract 612; San Francisco County; California","4163","687",
"1400000US06075061401","Census Tract 614.01; San Francisco County; California","2900","485",
"1400000US06075061402","Census Tract 614.02; San Francisco County; California","2354","346",
"1400000US06075061501","Census Tract 615.01; San Francisco County; California","1807","616",
"1400000US06075061502","Census Tract 615.02; San Francisco County; California","2195","605",
"1400000US06075061503","Census Tract 615.03; San Francisco County; California","3612","593",
"1400000US06075061504","Census Tract 615.04; San Francisco County; California","2133","477",
"1400000US06075061505","Census Tract 615.05; San Francisco County; California","1162","134",
"1400000US06075061506","Census Tract 615.06; San Francisco County; California","4918","947",
"1400000US06075061507","Census Tract 615.07; San Francisco County; California","1550","333",
"1400000US06075061508","Census Tract 615.08; San Francisco County; California","2018","274",
"1400000US06075980200","Census Tract 9802; San Francisco County; California","179","10",
"1400000US06075980300","Census Tract 9803; San Francisco County; California","49","29",
"1400000US06075980401","Census Tract 9804.01; San Francisco County; California","0","14",
"1400000US06075980501","Census Tract 9805.01; San Francisco County; California","155","55",
"1400000US06075980600","Census Tract 9806; San Francisco County; California","1290","168",
"1400000US06075980900","Census Tract 9809; San Francisco County; California","322","124",
"1400000US06075990100","Census Tract 9901; San Francisco County; California","0","14",
"1400000US06075990200","Census Tract 9902; San Francisco County; California","0","14",
